[22mars2026 10:16:27.446] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, neoforgeclientdev, --version, 21.4.156, --assetIndex, 19, --assetsDir, C:\\Users\\Utilisateur\\.gradle\\caches\\neoformruntime\\assets, --gameDir, ., --fml.fmlVersion, 6.0.18, --fml.mcVersion, 1.21.4, --fml.neoForgeVersion, 21.4.156, --fml.neoFormVersion, 20241203.161809]
[22mars2026 10:16:27.446] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Azul Systems, Inc. OpenJDK 64-Bit Server VM 21.0.10+7-LTS
[22mars2026 10:16:27.451] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.4+main.d2e20e43 starting: java version 21.0.10 by Azul Systems, Inc.; OS Windows 11 arch amd64 version 10.0
[22mars2026 10:16:27.557] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[22mars2026 10:16:27.714] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[22mars2026 10:16:27.814] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[22mars2026 10:16:27.911] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: AMD Radeon RX 7600 XT GL version 4.6.0 Core Profile Context 26.3.1.260309, ATI Technologies Inc.
[22mars2026 10:16:27.914] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/Utilisateur/.gradle/caches/modules-2/files-2.1/net.fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/2af2f021d8e02a0220dc27a7a72b4666d66d44ca/sponge-mixin-0.15.2+mixin.0.8.7.jar%23162!/ Service=ModLauncher Env=CLIENT
[22mars2026 10:16:28.268] [main/INFO] [net.neoforged.fml.loading.moddiscovery.locators.JarInJarDependencyLocator/]: Found 2 dependencies adding them to mods collection
[22mars2026 10:16:28.270] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/]: 
     Mod List:
		Name Version (Mod Id)

		All In MC: Multiminer 0.1.0 (allinmc_multiminer)
		Minecraft 1.21.4 (minecraft)
		NeoForge 21.4.156 (neoforge)
[22mars2026 10:16:30.254] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'neoforgeclientdev' with arguments [--version, 21.4.156, --gameDir, ., --assetsDir, C:\Users\Utilisateur\.gradle\caches\neoformruntime\assets, --assetIndex, 19]
[22mars2026 10:16:35.928] [pool-7-thread-1/INFO] [MixinExtras|Service/]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.5.0).
[22mars2026 10:16:37.294] [Datafixer Bootstrap/INFO] [com.mojang.datafixers.DataFixerBuilder/]: 246 Datafixer optimizations took 2247 milliseconds
[22mars2026 10:16:44.570] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22mars2026 10:16:44.573] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22mars2026 10:16:44.575] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22mars2026 10:16:44.575] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22mars2026 10:16:44.575] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22mars2026 10:16:44.879] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Utilisateur/Documents/project/Minecraft/amcmod/modpack/AllInMC/MultiMiner/build/moddev/artifacts/neoforge-21.4.156.jar%23215!/assets/.mcassetsroot' uses unexpected schema
[22mars2026 10:16:44.879] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Utilisateur/Documents/project/Minecraft/amcmod/modpack/AllInMC/MultiMiner/build/moddev/artifacts/neoforge-21.4.156.jar%23215!/data/.mcassetsroot' uses unexpected schema
[22mars2026 10:16:44.924] [Render thread/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[22mars2026 10:16:44.936] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Setting user: Dev
[22mars2026 10:16:45.056] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Backend library: LWJGL version 3.3.3+5
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.495] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.503] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.505] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.505] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.505] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
